MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,0.524714829,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,26.45,0.79,0.7545,15.76
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,0.513307985,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.9,0.74,0.6951,13.25
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,0.513307985,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.73,0.72,0.6545,12.1
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0.085714286,0,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,7.4,1.24,0.73,6.7
0,0,1,1,0,0,0,1,0.874524715,0,0,0,1,0.085714286,0,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,5.1,1.31,0.54,3.6
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0.085714286,0,0,0,0,0.5,0.25,0.125,0.333333333,0,0,0,0.714285714,0.055555556,7.7,1.14,0.52,4.6
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0.085714286,0,0,0,0,0.5,0.25,0.375,0.333333333,0,0,0,0.714285714,0.055555556,6.4,1.19,0.67,5.1
0,0,1,1,1,0,1,0,0.646387833,0,0.333333333,0,1,0.714285714,0,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.2,0.333333333,6.96,1.26,0.57,5
0,0,1,1,0,0,0,1,0.878326996,0,0.333333333,0,1,0.064285714,0,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,6.94,1.352,0.745,6.99
0,0,1,0.9,0,0.1,0,1,0.870722433,0,0.333333333,0,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.43,1.432,0.733,7.8
0,0,1,0.8,0,0.2,0,1,0.844106464,0,0.333333333,0,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.44,1.508,0.745,8.36
0,0,1,0.7,0,0.3,0,1,0.83269962,0,0.333333333,0,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.45,1.536,0.802,9.2
